"cc_gt01" "cc_gt02" "cc_gt03" "cc_gt04" "cc_gt05" "cc_gt06" "cc_gt07" "cc_gt08" "cc_gt09" "cc_gt10" "cc_gt11" "cc_gt12" "cc_un01" "cc_un02" "cc_un03" "cc_un04" "cc_un05" "cc_un06" "cc_un07" "cc_un08" "cc_un09" "cc_un10" "cc_un11" "cc_un12" "cc_un13" "cc_un14" "cc_un15" "cc_un16" "cc_un17" "cc_un18" "cc_un19" "cc_un20" "cc_un21" "cc_un22" "cc_un23" "cc_un24" "cc_un25" "cc_un26" "cc_un27" "cc_un28" "cc_unfccc01" "cc_unfccc02" "cc_unfccc03" "cc_unfccc04" "cc_unfccc05" "cc_unfccc06" "cc_unfccc07" "cc_unfccc08" "cc_unfccc09" "cc_unfccc10" "cc_unfccc11" "cc_unfccc12" "cc_unfccc13" "cc_unfccc14" "cc_unfccc15" "cc_unfccc16" "cc_unfccc17" "cc_unfccc18" "cc_unfccc19" "cc_unfccc20" "cc_unfccc21" "cc_unfccc22" "cc_unfccc23" "cc_unfccc24" "cc_unfccc25" "cc_unfccc26" "cc_unfccc27" "cc_unfccc28" "cc_unfccc29" "cc_unfccc30" "cc_unfccc31" "cc_unfccc32" "cc_unfccc33" "cc_unfccc34" "cc_unfccc35" "gpt35cc_01" "gpt35cc_02" "gpt35cc_03" "gpt35ccjfk_01" "gpt35ccjfk_02" "gpt35ccjfk_03" "gpt35ccjfk_04" "gpt35jfk_01" "gpt35jfk_02" "gpt35jfk_03" "gpt35jfk_04" "gpt4cc_01" "gpt4cc_02" "gpt4cc_03" "gpt4ccjfk_01" "gpt4ccjfk_02" "gpt4ccjfk_03" "gpt4ccjfk_04" "gpt4jfk_01" "gpt4jfk_02" "gpt4jfk_03" "gpt4jfk_04" "jfk_01" "jfk_02" "jfk_03" "jfk_04" "jfk_05" "jfk_06" "jfk_07" "jfk_08" "jfk_09" "jfk_10" "jfk_100" "jfk_11" "jfk_12" "jfk_13" "jfk_14" "jfk_15" "jfk_16" "jfk_17" "jfk_18" "jfk_19" "jfk_20" "jfk_21" "jfk_22" "jfk_23" "jfk_24" "jfk_25" "jfk_26" "jfk_27" "jfk_28" "jfk_29" "jfk_30" "jfk_31" "jfk_32" "jfk_33" "jfk_34" "jfk_35" "jfk_36" "jfk_37" "jfk_38" "jfk_39" "jfk_40" "jfk_41" "jfk_42" "jfk_43" "jfk_44" "jfk_45" "jfk_46" "jfk_47" "jfk_48" "jfk_49" "jfk_50" "jfk_51" "jfk_52" "jfk_53" "jfk_54" "jfk_55" "jfk_56" "jfk_57" "jfk_58" "jfk_59" "jfk_60" "jfk_61" "jfk_62" "jfk_63" "jfk_64" "jfk_65" "jfk_66" "jfk_67" "jfk_68" "jfk_69" "jfk_70" "jfk_71" "jfk_72" "jfk_73" "jfk_74" "jfk_75" "jfk_76" "jfk_77" "jfk_78" "jfk_79" "jfk_80" "jfk_81" "jfk_82" "jfk_83" "jfk_84" "jfk_85" "jfk_86" "jfk_87" "jfk_88" "jfk_89" "jfk_90" "jfk_91" "jfk_92" "jfk_93" "jfk_94" "jfk_95" "jfk_96" "jfk_97" "jfk_98" "jfk_99"
"will" 0.952380952380952 2.88461538461538 5 2 4.85436893203883 5.15463917525773 2.97029702970297 4.12371134020619 5.10204081632653 5.15463917525773 3.88349514563107 3.80952380952381 0 0 0 3.88349514563107 5.15463917525773 0 3.15789473684211 3 0 1.03092783505155 3.96039603960396 0 0 1.05263157894737 2.08333333333333 0 0 3.06122448979592 0 0.99009900990099 0 5.10204081632653 5.10204081632653 0 2.08333333333333 3.125 3.06122448979592 0 3.26086956521739 4.21052631578947 4.12371134020619 0 4.08163265306122 3.125 2.97029702970297 3 3.92156862745098 4 3 4.16666666666667 4 3 0 4 2.97029702970297 4.16666666666667 2 5 4.12371134020619 5 5.37634408602151 3 0 4 0 4.25531914893617 4 5.05050505050505 1 0 3 0 2 3 2 0 5 3.125 0 0 3 0 3.03030303030303 3.09278350515464 1.03092783505155 0 2 1 4 0 2 0 3 4.08163265306122 1.03092783505155 4.21052631578947 2.06185567010309 3.09278350515464 4.21052631578947 0 2.10526315789474 1.03092783505155 2 4.16666666666667 4.08163265306122 0 4.12371134020619 5.20833333333333 0 3.125 2 5.20833333333333 3.15789473684211 0 5 2.08333333333333 3.88349514563107 4 2.08333333333333 0 2.06185567010309 3.03030303030303 3.125 1 4.12371134020619 5.20833333333333 3.09278350515464 3.03030303030303 1.05263157894737 2 3.125 5.31914893617021 0 2.08333333333333 5.15463917525773 4.16666666666667 0 3.125 2.10526315789474 0 3.03030303030303 0 3.15789473684211 1.96078431372549 4.12371134020619 2.06185567010309 5.15463917525773 0.970873786407767 1.02040816326531 2.04081632653061 2.02020202020202 1.05263157894737 1 4.16666666666667 4.12371134020619 0.980392156862745 3.125 4 4.21052631578947 3.125 3.03030303030303 4.16666666666667 3.15789473684211 3.09278350515464 3.09278350515464 4.12371134020619 5.20833333333333 3 2.04081632653061 4 5.20833333333333 5 1.04166666666667 2 5 3.06122448979592 0 2 0 0 4.08163265306122 3.09278350515464 4.21052631578947 5.26315789473684 0 4.12371134020619 1.02040816326531 3.06122448979592 2.06185567010309 4.12371134020619 0 4.21052631578947 3.125 3.15789473684211 4.21052631578947
"must" 0 0 1 0 0 4.12371134020619 0 3.09278350515464 0 0 0 0 0 1.02040816326531 0 0 3.09278350515464 4.16666666666667 5.26315789473684 4 5.20833333333333 4.12371134020619 4.95049504950495 3.09278350515464 4.21052631578947 3.15789473684211 4.16666666666667 4 0 0 4.12371134020619 2.97029702970297 0 4.08163265306122 4.08163265306122 0 5.20833333333333 2.08333333333333 4.08163265306122 0 5.43478260869565 1.05263157894737 3.09278350515464 4.12371134020619 3.06122448979592 2.08333333333333 0 0 0 4 4 2.08333333333333 4 5 0 3 0 0 4 0 4.12371134020619 3 1.0752688172043 0 0 0 1.98019801980198 0 0 0 3 2 0 0 3 3 3 5 5 3.125 2 4 0 3 4.04040404040404 3.09278350515464 2.06185567010309 0 0 1 3 4 0 5 3 2.04081632653061 2.06185567010309 0 2.06185567010309 2.06185567010309 2.10526315789474 5.05050505050505 0 3.09278350515464 3 4.16666666666667 0 0 0 0 1.04166666666667 2.08333333333333 3 0 0 0 1 0 0 3 0 3 2.06185567010309 3.03030303030303 0 3 3.09278350515464 0 0 0 2.10526315789474 0 0 4.25531914893617 2.08333333333333 0 0 0 0 3.125 3.15789473684211 0 0 2.04081632653061 0 2.94117647058824 3.09278350515464 0 2.06185567010309 0 3.06122448979592 0 3.03030303030303 1.05263157894737 0 0 2.06185567010309 0 0 1 0 4.16666666666667 0 5.20833333333333 3.15789473684211 4.12371134020619 3.09278350515464 4.12371134020619 3.125 0 0 0 1.04166666666667 4 0 3 0 0 0 4 0 0 0 0 1.05263157894737 2.10526315789474 0 0 2.04081632653061 1.02040816326531 0 0 0 3.15789473684211 1.04166666666667 1.05263157894737 0
"climate" 3.80952380952381 3.84615384615385 3 3 3.88349514563107 4.12371134020619 2.97029702970297 1.03092783505155 2.04081632653061 5.15463917525773 0 0.952380952380952 0 3.06122448979592 0 4.85436893203883 3.09278350515464 3.125 4.21052631578947 5 4.16666666666667 4.12371134020619 3.96039603960396 4.12371134020619 2.10526315789474 5.26315789473684 5.20833333333333 3 0 3.06122448979592 3.09278350515464 0.99009900990099 4.12371134020619 4.08163265306122 3.06122448979592 0 5.20833333333333 4.16666666666667 3.06122448979592 0 4.34782608695652 3.15789473684211 4.12371134020619 5.15463917525773 3.06122448979592 3.125 4.95049504950495 3 2.94117647058824 3 5 0 4 4 5 5 3.96039603960396 4.16666666666667 3 4 4.12371134020619 5 4.3010752688172 4 5 5 4.95049504950495 5.31914893617021 2 3.03030303030303 5 5 3 2.94117647058824 5 4 4 4 3 4.16666666666667 4 2 1 0 0 0 4.12371134020619 4 2 0 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"can" 0 1.92307692307692 2 5 0.970873786407767 3.09278350515464 0.99009900990099 5.15463917525773 2.04081632653061 0 3.88349514563107 0 3.92156862745098 0 0 0 0 0 0 0 3.125 0 0 1.03092783505155 0 1.05263157894737 0 0 4.08163265306122 2.04081632653061 0 0 0 2.04081632653061 2.04081632653061 0 2.08333333333333 0 2.04081632653061 1.04166666666667 0 4.21052631578947 2.06185567010309 4.12371134020619 2.04081632653061 1.04166666666667 0 0 2.94117647058824 0 0 0 0 0 0 3 0 0 0 0 0 3 3.2258064516129 3 0 2 4.95049504950495 3.19148936170213 0 0 0 1 3 0 2 0 0 0 0 3.125 0 4 4 0 0 0 0 4 3 2 2 0 0 0 0 0 0 0 3.09278350515464 1.03092783505155 2.10526315789474 4.04040404040404 0 2.06185567010309 3 2.08333333333333 0 0 0 4.16666666666667 0 1.04166666666667 3 0 2.10526315789474 3 0 2.08333333333333 2.9126213592233 1 0 4 0 1.01010101010101 0 3 4.12371134020619 3.125 1.03092783505155 0 0 4 2.08333333333333 0 0 4.16666666666667 0 0 0 4.16666666666667 4.21052631578947 0 0 1.02040816326531 3.15789473684211 0 3.09278350515464 3.09278350515464 0 1.94174757281553 4.08163265306122 0 4.04040404040404 2.10526315789474 0 0 3.09278350515464 0 2.08333333333333 2 0 3.125 0 3.125 3.15789473684211 4.12371134020619 3.09278350515464 4.12371134020619 3.125 0 2.04081632653061 0 1.04166666666667 3 3.125 0 0 0 0 1 0 0 0 2.06185567010309 2.10526315789474 2.10526315789474 0 1.03092783505155 0 1.02040816326531 0 0 0 0 4.16666666666667 0 2.10526315789474
"world" 0.952380952380952 2.88461538461538 1 4 1.94174757281553 0 0 1.03092783505155 3.06122448979592 4.12371134020619 1.94174757281553 1.9047619047619 0.980392156862745 3.06122448979592 3 2.9126213592233 2.06185567010309 1.04166666666667 2.10526315789474 0 0 2.06185567010309 1.98019801980198 3.09278350515464 0 1.05263157894737 2.08333333333333 1 3.06122448979592 4.08163265306122 4.12371134020619 3.96039603960396 0 3.06122448979592 4.08163265306122 2.04081632653061 0 0 4.08163265306122 3.125 0 3.15789473684211 0 3.09278350515464 4.08163265306122 0 0 0 0 0 3 0 0 1 2 4 0.99009900990099 3.125 0 4 1.03092783505155 3 2.1505376344086 0 1 0 0 0 0 3.03030303030303 0 0 3 0 0 2 4 1 0 4.16666666666667 2 0 0 2 2.02020202020202 0 2.06185567010309 0 0 0 4 4 0 2 3 4.08163265306122 3.09278350515464 5.26315789473684 4.12371134020619 2.06185567010309 1.05263157894737 0 4.21052631578947 0 2 0 0 4.16666666666667 3.09278350515464 0 0 0 0 0 0 4 1 0 0 3 0 0 0 4.04040404040404 0 3 0 2.08333333333333 2.06185567010309 0 0 0 0 0 0 0 3.09278350515464 0 0 0 0 2.08333333333333 0 4.08163265306122 0 0 0 3.09278350515464 0 0 4.08163265306122 0 3.03030303030303 0 0 0 0 2.94117647058824 0 0 0 0 0 1.04166666666667 1.05263157894737 1.03092783505155 0 0 1.04166666666667 4 0 0 1.04166666666667 0 0 0 0 4.08163265306122 0 0 0 0 1.02040816326531 0 0 0 0 4.12371134020619 5.10204081632653 1.02040816326531 0 0 0 0 0 0 0
"people" 3.80952380952381 2.88461538461538 3 4 1.94174757281553 1.03092783505155 4.95049504950495 2.06185567010309 3.06122448979592 4.12371134020619 3.88349514563107 2.85714285714286 0 3.06122448979592 5 0 2.06185567010309 0 0 0 0 0 4.95049504950495 2.06185567010309 0 0 0 1 0 0 4.12371134020619 0 0 3.06122448979592 3.06122448979592 0 3.125 0 0 3.125 3.26086956521739 0 3.09278350515464 0 5.10204081632653 0 0 3 0 0 0 0 1 0 0 0 0 3.125 0 0 0 1 0 4 0 0 0 0 3 0 3 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.09278350515464 0 2.06185567010309 3.09278350515464 2.10526315789474 0 2.10526315789474 0 2 0 1.02040816326531 0 4.12371134020619 4.16666666666667 0 1.04166666666667 1 3.125 1.05263157894737 1 1 0 0 0 1.04166666666667 0 2.06185567010309 4.04040404040404 0 3 2.06185567010309 3.125 0 0 2.10526315789474 0 0 0 4.16666666666667 0 0 0 4.12371134020619 1.04166666666667 3.15789473684211 0 5.05050505050505 0 1.05263157894737 0 3.09278350515464 0 0 0.970873786407767 0 0 5.05050505050505 2.10526315789474 0 0 0 0 3.125 0 0 4.16666666666667 2.02020202020202 4.16666666666667 3.15789473684211 4.12371134020619 4.12371134020619 4.12371134020619 3.125 0 0 0 2.08333333333333 1 3.125 0 0 1.02040816326531 0 0 0 0 3.06122448979592 4.12371134020619 3.15789473684211 5.26315789473684 0 1.03092783505155 3.06122448979592 1.02040816326531 0 0 0 0 0 0 3.15789473684211
"new" 0 0 3 0 0 1.03092783505155 2.97029702970297 0 0 0 0 0 0 0 0 0.970873786407767 0 0 0 0 0 0 0 0 0 2.10526315789474 2.08333333333333 4 0 3.06122448979592 4.12371134020619 0 1.03092783505155 0 4.08163265306122 0 1.04166666666667 0 2.04081632653061 3.125 0 0 0 3.09278350515464 0 0 2.97029702970297 0 1.96078431372549 3 0 0 0 0 0 0 0 0 0 1 4.12371134020619 0 1.0752688172043 0 0 1 2.97029702970297 0 0 0 0 0 0 1.96078431372549 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 3 0 2 4 3 0 0 0 1.03092783505155 0 0 0 0 4.12371134020619 3 5.20833333333333 2.04081632653061 2.08333333333333 0 0 0 0 0 0 4.21052631578947 0 1 0 0 0 0 1 0 0 0 2 0 0 3.09278350515464 0 0 0 0 3.19148936170213 0 1.04166666666667 0 4.16666666666667 2.06185567010309 0 0 4.16666666666667 0 0 3.15789473684211 0 0 0 0 0 0 0 1.01010101010101 0 2 4.16666666666667 1.03092783505155 3.92156862745098 0 5 0 0 0 0 2.10526315789474 0 0 2.06185567010309 4.16666666666667 0 4.08163265306122 0 0 3 2.08333333333333 5 5 4.08163265306122 0 1 4 3.125 0 1.03092783505155 0 5.26315789473684 4.04040404040404 1.03092783505155 1.02040816326531 0 4.12371134020619 2.06185567010309 1.04166666666667 5.26315789473684 0 4.21052631578947 0
"one" 0 2.88461538461538 0 0 0 3.09278350515464 1.98019801980198 1.03092783505155 0 2.06185567010309 2.9126213592233 0 0.980392156862745 0 3 2.9126213592233 0 0 2.10526315789474 0 0 0 0 0 0 0 0 0 0 0 0 0.99009900990099 0 0 0 0 0 0 0 0 0 2.10526315789474 0 0 3.06122448979592 0 0 0 3.92156862745098 2 0 3.125 2 0 2 3 0 0 0 3 3.09278350515464 0 0 0 0 0 1.98019801980198 0 0 2.02020202020202 2 0 1 0 0 0 0 0 0 2.08333333333333 0 0 0 2 0 0 0 1 0 2 2 0 0 3 0 0 3.09278350515464 0 2.06185567010309 2.06185567010309 2.10526315789474 0 0 3.09278350515464 0 0 3.06122448979592 0 1.03092783505155 2.08333333333333 0 0 0 3.125 0 2 2 2.08333333333333 1.94174757281553 3 0 0 0 0 4.16666666666667 0 1.03092783505155 0 4.12371134020619 0 3.15789473684211 4 0 0 0 0 0 0 0 2.08333333333333 0 0 0 3.06122448979592 1.05263157894737 0 0 0 0 2.9126213592233 0 0 1.01010101010101 0 0 1.04166666666667 0 4.90196078431373 2.08333333333333 0 4.21052631578947 0 0 1.04166666666667 1.05263157894737 0 0 0 0 3 1.02040816326531 0 1.04166666666667 0 4.16666666666667 4 1 0 0 0 2 1.04166666666667 4.08163265306122 0 0 2.10526315789474 0 1.03092783505155 3.06122448979592 1.02040816326531 2.06185567010309 0 2.08333333333333 0 3.125 1.05263157894737 3.15789473684211
"change" 2.85714285714286 3.84615384615385 0 0 2.9126213592233 0 3.96039603960396 0 2.04081632653061 1.03092783505155 4.85436893203883 0 0 0 0 0 0 0 0 0 1.04166666666667 0 2.97029702970297 0 0 0 0 0 0 0 0 0 0 3.06122448979592 0 1.02040816326531 0 0 0 0 0 3.15789473684211 0 3.09278350515464 0 2.08333333333333 2.97029702970297 4 1.96078431372549 0 4 0 4 5 1 3 4.95049504950495 4.16666666666667 3 0 4.12371134020619 1 2.1505376344086 4 4 3 2.97029702970297 4.25531914893617 0 1.01010101010101 3 2 2 0 3 4 5 5 5 4.16666666666667 3 3 1 0 0 0 3.09278350515464 4 4 0 3 4 3 2 2 2.04081632653061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"global" 0 0 1 1 0 0 0 2.06185567010309 0 0 2.9126213592233 0 2.94117647058824 2.04081632653061 0 1.94174757281553 0 4.16666666666667 0 3 4.16666666666667 2.06185567010309 3.96039603960396 2.06185567010309 2.10526315789474 2.10526315789474 4.16666666666667 1 3.06122448979592 5.10204081632653 5.15463917525773 4.95049504950495 0 4.08163265306122 3.06122448979592 2.04081632653061 4.16666666666667 1.04166666666667 5.10204081632653 2.08333333333333 0 0 0 4.12371134020619 1.02040816326531 1.04166666666667 0 2 1.96078431372549 0 2 1.04166666666667 5 4 2 4 0 3.125 1 4 4.12371134020619 5 0 0 0 2 0.99009900990099 0 3 1.01010101010101 3 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1.03092783505155 3 0 0 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
