"cc_gt01" "cc_gt02" "cc_gt03" "cc_gt04" "cc_gt05" "cc_gt06" "cc_gt07" "cc_gt08" "cc_gt09" "cc_gt10" "cc_gt11" "cc_gt12" "cc_un01" "cc_un02" "cc_un03" "cc_un04" "cc_un05" "cc_un06" "cc_un07" "cc_un08" "cc_un09" "cc_un10" "cc_un11" "cc_un12" "cc_un13" "cc_un14" "cc_un15" "cc_un16" "cc_un17" "cc_un18" "cc_un19" "cc_un20" "cc_un21" "cc_un22" "cc_un23" "cc_un24" "cc_un25" "cc_un26" "cc_un27" "cc_un28" "cc_unfccc01" "cc_unfccc02" "cc_unfccc03" "cc_unfccc04" "cc_unfccc05" "cc_unfccc06" "cc_unfccc07" "cc_unfccc08" "cc_unfccc09" "cc_unfccc10" "cc_unfccc11" "cc_unfccc12" "cc_unfccc13" "cc_unfccc14" "cc_unfccc15" "cc_unfccc16" "cc_unfccc17" "cc_unfccc18" "cc_unfccc19" "cc_unfccc20" "cc_unfccc21" "cc_unfccc22" "cc_unfccc23" "cc_unfccc24" "cc_unfccc25" "cc_unfccc26" "cc_unfccc27" "cc_unfccc28" "cc_unfccc29" "cc_unfccc30" "cc_unfccc31" "cc_unfccc32" "cc_unfccc33" "cc_unfccc34" "cc_unfccc35" "gpt35cc_01" "gpt35cc_02" "gpt35cc_03" "gpt35ccmt_01" "gpt35ccmt_02" "gpt35ccmt_03" "gpt35ccmt_04" "gpt35mt_01" "gpt35mt_02" "gpt35mt_03" "gpt35mt_04" "gpt4cc_01" "gpt4cc_02" "gpt4cc_03" "gpt4ccmt_01" "gpt4ccmt_02" "gpt4ccmt_03" "gpt4ccmt_04" "gpt4mt_01" "gpt4mt_02" "gpt4mt_03" "gpt4mt_04" "mt_01" "mt_02" "mt_03" "mt_04" "mt_05" "mt_06" "mt_07" "mt_08" "mt_09" "mt_10" "mt_11"
"climate" 4.80769230769231 3.84615384615385 4 2 2.94117647058824 3.15789473684211 2.97029702970297 2.08333333333333 2.04081632653061 3.125 0 0.943396226415094 0 3.09278350515464 0 3.96039603960396 5.20833333333333 4.16666666666667 5.20833333333333 4 3.09278350515464 5.15463917525773 4 4.16666666666667 3.19148936170213 5.15463917525773 4.12371134020619 2.94117647058824 2.08333333333333 3.125 2.08333333333333 2.02020202020202 3.15789473684211 5.10204081632653 4.16666666666667 1 4.16666666666667 4.04040404040404 2.06185567010309 0 4.34782608695652 2.06185567010309 3.06122448979592 4.16666666666667 3.03030303030303 2.08333333333333 3 4 3.92156862745098 2 4 1.05263157894737 4 5 4 5 3.96039603960396 4.16666666666667 4 4 3.06122448979592 3 5.37634408602151 5 5 4 5 4.25531914893617 2 3.06122448979592 5 3 3.96039603960396 4.90196078431373 5 4 5 4 3 5 3 3 0 0 0 0 5.20833333333333 5 2 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"will" 0 1.92307692307692 4 3 3.92156862745098 4.21052631578947 4.95049504950495 4.16666666666667 3.06122448979592 5.20833333333333 4.85436893203883 3.77358490566038 0.99009900990099 0 0 2.97029702970297 4.16666666666667 0 2.08333333333333 4 0 1.03092783505155 3 1.04166666666667 0 1.03092783505155 3.09278350515464 0 0 3.125 0 0 0 4.08163265306122 3.125 0 2.08333333333333 3.03030303030303 2.06185567010309 0 4.34782608695652 4.12371134020619 4.08163265306122 0 4.04040404040404 3.125 4 4 2.94117647058824 4 3 3.15789473684211 3 3 0 3 1.98019801980198 2.08333333333333 2 4 3.06122448979592 3 4.3010752688172 3 0 5 1 5.31914893617021 5 4.08163265306122 1 2 2.97029702970297 0 3 4 1 0 4 3 4 3 4 2 5 0 0 0 2 3 0 0 0 0 4 0 0 2.06185567010309 0 2.04081632653061 5.10204081632653 2 0 3 4.08163265306122 3 0 4
"must" 0 0 0 0 0 3.15789473684211 0 5.20833333333333 0 0 0 0 0 0 0 0 2.08333333333333 5.20833333333333 4.16666666666667 5 5.15463917525773 5.15463917525773 4 2.08333333333333 4.25531914893617 5.15463917525773 4.12371134020619 3.92156862745098 0 0 4.16666666666667 3.03030303030303 0 3.06122448979592 4.16666666666667 0 4.16666666666667 3.03030303030303 4.12371134020619 1.04166666666667 5.43478260869565 2.06185567010309 2.04081632653061 4.16666666666667 5.05050505050505 4.16666666666667 0 0 0 5 2 2.10526315789474 2 3 0 3 0 0 5 0 4.08163265306122 3 1.0752688172043 1 0 0 2 0 0 0 4 3 0 0 3 4 3 3 4 3 1 4 4 4 3 5 3.125 0 1 3 0 5 3 4 0 4 5 3.09278350515464 0 0 4.08163265306122 2 1.06382978723404 1 2.04081632653061 4 1.02040816326531 1
"world" 0.961538461538462 1.92307692307692 0 3 2.94117647058824 0 0.99009900990099 1.04166666666667 2.04081632653061 4.16666666666667 2.9126213592233 1.88679245283019 0 2.06185567010309 3.88349514563107 3.96039603960396 3.125 3.125 3.125 0 0 3.09278350515464 3 3.125 0 1.03092783505155 2.06185567010309 0.980392156862745 3.125 4.16666666666667 4.16666666666667 4.04040404040404 0 3.06122448979592 4.16666666666667 1 2.08333333333333 0 4.12371134020619 4.16666666666667 0 5.15463917525773 0 1.04166666666667 4.04040404040404 0 0 0 0 0 4 0 0 3 3 3 0 3.125 0 3 0 4 2.1505376344086 0 0 0 0 0 0 2.04081632653061 0 0 3.96039603960396 0 0 1 2 2 3 0 3 0 0 1 3 0 2.08333333333333 0 0 0 2 0 0 1 5 1 1 2.06185567010309 0 0 1.02040816326531 5 0 1 0 3 0 2
"change" 3.84615384615385 2.88461538461538 0 0 0.980392156862745 0 2.97029702970297 0 2.04081632653061 1.04166666666667 2.9126213592233 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4.08163265306122 0 0 0 0 0 0 0 4.12371134020619 1.02040816326531 4.16666666666667 0 1.04166666666667 4 3 0.980392156862745 0 3 0 5 3 1 5 4.95049504950495 4.16666666666667 2 0 3.06122448979592 1 2.1505376344086 4 4 2 3 4.25531914893617 0 1.02040816326531 3 2 3.96039603960396 0.980392156862745 5 4 4 5 4 4 5 4 0 0 0 0 2.08333333333333 4 3 5 4 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"global" 0 0 0 0 0 0 0 3.125 0 0 2.9126213592233 0 4.95049504950495 2.06185567010309 0 2.97029702970297 0 3.125 1.04166666666667 5 4.12371134020619 3.09278350515464 4 2.08333333333333 2.12765957446809 3.09278350515464 3.09278350515464 1.96078431372549 3.125 5.20833333333333 5.20833333333333 5.05050505050505 0 4.08163265306122 4.16666666666667 0 2.08333333333333 1.01010101010101 4.12371134020619 3.125 0 0 0 4.16666666666667 2.02020202020202 2.08333333333333 0 3 1.96078431372549 1 2 1.05263157894737 5 3 2 4 0 3.125 2 3 4.08163265306122 4 0 0 0 2 3 0 3 2.04081632653061 3 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1.04166666666667 3 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"people" 3.84615384615385 2.88461538461538 2 5 2.94117647058824 2.10526315789474 3.96039603960396 2.08333333333333 3.06122448979592 4.16666666666667 4.85436893203883 2.83018867924528 0 1.03092783505155 3.88349514563107 0 3.125 0 0 0 1.03092783505155 2.06185567010309 5 2.08333333333333 0 0 0 0.980392156862745 1.04166666666667 0 3.125 0 0 4.08163265306122 3.125 0 3.125 0 0 4.16666666666667 3.26086956521739 1.03092783505155 2.04081632653061 2.08333333333333 3.03030303030303 0 0 3 0 0 0 0 2 0 0 0 0 2.08333333333333 0 1 1.02040816326531 1 0 3 0 0 1 0 2 0 4 2 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 3 0 0 2 3.09278350515464 0 0 3.06122448979592 4 0 5 4.08163265306122 2 0 4
"countries" 0 2.88461538461538 0 0 0 0 0 0 0 0 3.88349514563107 0 0 0 0 0.99009900990099 0 0 0 6 3.09278350515464 4.12371134020619 3 3.125 0 4.12371134020619 4.12371134020619 0 0 4.16666666666667 4.16666666666667 4.04040404040404 3.15789473684211 5.10204081632653 5.20833333333333 0 2.08333333333333 3.03030303030303 4.12371134020619 0 5.43478260869565 1.03092783505155 0 0 0 0 5 2 0 3 5 0 3 0 5 3 0.99009900990099 2.08333333333333 0 3 0 3 2.1505376344086 0 3 1 0 0 3 2.04081632653061 4 0 0 2.94117647058824 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"can" 0.961538461538462 3.84615384615385 2 4 1.96078431372549 3.15789473684211 1.98019801980198 3.125 3.06122448979592 0 2.9126213592233 0 3.96039603960396 0 0.970873786407767 0 0 0 0 0 2.06185567010309 1.03092783505155 0 0 0 0 0 0.980392156862745 3.125 2.08333333333333 0 0 0 2.04081632653061 0 0 2.08333333333333 0 2.06185567010309 0 0 5.15463917525773 3.06122448979592 3.125 3.03030303030303 0 0 0 2.94117647058824 0 0 0 0 0 0 2 0 0 0 0 0 3 2.1505376344086 2 0 2 3 4.25531914893617 0 0 0 1 1.98019801980198 0 2 0 0 0 0 0 3 0 5 0 0 1 0 4 3 3 0 0 3 0 0 0 5 0 2 0 2.04081632653061 0 3.19148936170213 4 2.04081632653061 2 0 0
"let" 0 0 0 0 0 0 0 0 0 0 0 0 0.99009900990099 1.03092783505155 1.94174757281553 3.96039603960396 0 0 0 0 0 0 0 0 0 0 0 1.96078431372549 0 0 0 0 0 0 0 1 0 1.01010101010101 0 0 0 1.03092783505155 3.06122448979592 0 0 3.125 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0752688172043 0 0 2 0 0 0 0 0 0 0 0 0 5 0 3 4 5 4 4 4 5 4 3 4.16666666666667 0 3 4 2 3 4 4 4 5 4 0 0 0 4.08163265306122 0 0 3 0 0 4.08163265306122 0
