Source,Target,Weight,Type
cc_gt01,cc_gt02,3,undirected
cc_gt01,cc_gt11,1,undirected
cc_gt01,cc_unfccc26,2,undirected
cc_gt02,cc_gt01,3,undirected
cc_gt02,cc_gt11,3,undirected
cc_gt02,cc_gt12,1,undirected
cc_gt02,cc_unfccc26,2,undirected
cc_gt03,cc_gt05,3,undirected
cc_gt03,cc_gt06,3,undirected
cc_gt03,cc_gt07,6,undirected
cc_gt04,cc_gt07,1,undirected
cc_gt04,cc_unfccc03,2,undirected
cc_gt04,cc_unfccc26,3,undirected
cc_gt05,cc_gt03,3,undirected
cc_gt05,cc_gt06,6,undirected
cc_gt05,cc_gt08,1,undirected
cc_gt05,cc_gt10,2,undirected
cc_gt06,cc_gt03,3,undirected
cc_gt06,cc_gt05,6,undirected
cc_gt06,cc_gt07,1,undirected
cc_gt06,cc_gt08,5,undirected
cc_gt06,cc_gt11,2,undirected
cc_gt06,cc_gt12,2,undirected
cc_gt07,cc_gt03,6,undirected
cc_gt07,cc_gt04,1,undirected
cc_gt07,cc_gt06,1,undirected
cc_gt07,cc_gt11,2,undirected
cc_gt08,cc_gt05,1,undirected
cc_gt08,cc_gt06,5,undirected
cc_gt08,cc_gt11,1,undirected
cc_gt08,cc_un22,1,undirected
cc_gt08,wc_10,2,undirected
cc_gt09,cc_gt10,2,undirected
cc_gt09,cc_un03,1,undirected
cc_gt09,cc_unfccc26,3,undirected
cc_gt10,cc_gt05,2,undirected
cc_gt10,cc_gt09,2,undirected
cc_gt10,cc_gt12,2,undirected
cc_gt10,cc_unfccc26,3,undirected
cc_gt11,cc_gt01,1,undirected
cc_gt11,cc_gt02,3,undirected
cc_gt11,cc_gt06,2,undirected
cc_gt11,cc_gt07,2,undirected
cc_gt11,cc_gt08,1,undirected
cc_gt11,cc_gt12,6,undirected
cc_gt12,cc_gt02,1,undirected
cc_gt12,cc_gt06,2,undirected
cc_gt12,cc_gt10,2,undirected
cc_gt12,cc_gt11,6,undirected
cc_un01,cc_un03,5,undirected
cc_un01,cc_un04,2,undirected
cc_un01,cc_un17,6,undirected
cc_un01,cc_unfccc26,1,undirected
cc_un01,jfk_48,1,undirected
cc_un01,mt_10,1,undirected
cc_un02,cc_un03,3,undirected
cc_un02,cc_unfccc26,2,undirected
cc_un02,cc_unfccc27,1,undirected
cc_un03,cc_gt09,1,undirected
cc_un03,cc_un01,5,undirected
cc_un03,cc_un02,3,undirected
cc_un03,cc_un16,3,undirected
cc_un03,cc_un17,1,undirected
cc_un03,cc_un21,1,undirected
cc_un03,cc_un24,1,undirected
cc_un03,cc_unfccc12,2,undirected
cc_un03,cc_unfccc26,2,undirected
cc_un03,cc_unfccc31,1,undirected
cc_un03,jfk_40,2,undirected
cc_un03,jfk_44,2,undirected
cc_un03,mt_02,1,undirected
cc_un03,mt_10,2,undirected
cc_un03,wc_41,2,undirected
cc_un04,cc_un01,2,undirected
cc_un04,cc_unfccc26,3,undirected
cc_un04,cc_unfccc34,1,undirected
cc_un05,cc_un22,3,undirected
cc_un05,cc_unfccc22,2,undirected
cc_un05,cc_unfccc26,1,undirected
cc_un06,cc_un11,3,undirected
cc_un06,cc_un22,2,undirected
cc_un06,cc_unfccc26,1,undirected
cc_un07,cc_un12,1,undirected
cc_un07,cc_un13,4,undirected
cc_un07,cc_un22,3,undirected
cc_un08,cc_un09,6,undirected
cc_un08,cc_un10,2,undirected
cc_un08,cc_un11,5,undirected
cc_un08,cc_un14,4,undirected
cc_un09,cc_un08,6,undirected
cc_un09,cc_un11,1,undirected
cc_un09,cc_un14,4,undirected
cc_un09,cc_unfccc34,1,undirected
cc_un10,cc_un08,2,undirected
cc_un10,cc_un11,1,undirected
cc_un10,cc_un14,4,undirected
cc_un11,cc_un06,3,undirected
cc_un11,cc_un08,5,undirected
cc_un11,cc_un09,1,undirected
cc_un11,cc_un10,1,undirected
cc_un11,cc_un15,1,undirected
cc_un11,cc_un22,2,undirected
cc_un12,cc_un07,1,undirected
cc_un12,cc_un13,5,undirected
cc_un12,cc_unfccc01,1,undirected
cc_un12,cc_unfccc15,3,undirected
cc_un12,cc_unfccc26,3,undirected
cc_un12,cc_unfccc33,1,undirected
cc_un12,cc_unfccc34,1,undirected
cc_un12,jfk_08,1,undirected
cc_un12,wc_12,2,undirected
cc_un13,cc_un07,4,undirected
cc_un13,cc_un12,5,undirected
cc_un13,cc_un22,1,undirected
cc_un14,cc_un08,4,undirected
cc_un14,cc_un09,4,undirected
cc_un14,cc_un10,4,undirected
cc_un14,cc_un15,2,undirected
cc_un15,cc_un11,1,undirected
cc_un15,cc_un14,2,undirected
